SA2_NAME16,Population
Drummoyne - Rodd Point,18236
Five Dock - Abbotsford,20838
Concord West - North Strathfield,12748
Rhodes,11725
Balmain,15450
Lilyfield - Rozelle,13626
Annandale (NSW),9525
Leichhardt,17664
Canterbury (North) - Ashbury,12103
Croydon Park - Enfield,17430
Dulwich Hill - Lewisham,18086
Haberfield - Summer Hill,13524
Homebush,21396
Strathfield South,3597
Ashfield - North,11445
Ashfield - South,12213
Burwood (NSW),16528
Croydon,10942
Strathfield - East,16597
Strathfield - West,9208
Chatswood (West) - Lane Cove North,21613
St Leonards - Naremburn,12232
Artarmon,9394
Castle Cove - Northbridge,13336
Chatswood - East,19739
Greenwich - Riverview,12836
Lane Cove,16066
Willoughby,12867
Asquith - Mount Colah,22370
Berowra - Brooklyn - Cowan,11758
Normanhurst - Thornleigh - Westleigh,19211
Hornsby - East,11932
Hornsby - West,10612
Wahroonga (West) - Waitara,12002
Gordon - Killara,22435
Lindfield - Roseville,24661
Pymble,17266
St Ives,21786
Turramurra,20170
Wahroonga (East) - Warrawee,18150
Cremorne - Cammeray,18926
Crows Nest - Waverton,17938
Neutral Bay - Kirribilli,17213
North Sydney - Lavender Bay,12651
Mosman - North,13735
Mosman - South,14388
Balgowlah - Clontarf - Seaforth,20544
Manly - Fairlight,22780
Avalon - Palm Beach,12921
Bayview - Elanora Heights,11174
Newport - Bilgola,13517
Mona Vale - Warriewood (North),14699
North Narrabeen - Warriewood (South),10906
Beacon Hill - Narraweena,14472
Cromer,8130
Forestville - Killarney Heights,13188
Freshwater - Brookvale,22006
Manly Vale - Allambie Heights,17417
Terrey Hills - Duffys Forest,3719
Belrose,8637
Collaroy - Collaroy Plateau,13792
Dee Why (South) - North Curl Curl,9104
Dee Why - North,18027
Frenchs Forest - Oxford Falls,17212
Narrabeen - Wheeler Heights,11053
Camden - Ellis Lane,13423
Currans Hill,6725
Elderslie - Narellan,14237
Harrington Park,11305
Mount Annan,19170
Spring Farm,10112
Bradbury - Wedderburn,20227
Campbelltown - Woodbine,22972
Claymore - Eagle Vale - Raby,20120
Holsworthy Military Area,3
Leumeah - Minto Heights,16797
Minto - St Andrews,21468
Rosemeadow - Glen Alpine,21252
Denham Court - Bardia,17530
Glenfield,10597
Ingleburn,16772
Macquarie Fields,14136
Bargo,6039
Douglas Park - Appin,11532
Picton - Tahmoor - Buxton,19697
The Oaks - Oakdale,10041
Blackheath - Megalong Valley,5800
Blaxland - Warrimoo - Lapstone,19058
Blue Mountains - North,9
Katoomba - Leura,13205
Lawson - Hazelbrook - Linden,11498
Springwood - Winmalee,21883
Wentworth Falls,6315
Blue Mountains - South,7
Cambridge Park,16180
Emu Plains - Leonay,13839
Glenmore Park - Regentville,20961
Jamisontown - South Penrith,17403
Kingswood - Werrington,25266
